Living_sleeping_location,Causes_of_leaving_home,Type_of_work,Enjoy_or_not_work,Working_for,Working_single_group,Working_injury,Sleeping_place_fixed_or_not,Eating_times_per_day,Eating_location,No_of_nights_gone_to_bed_without_food_per_week,Having_winter_clothes,Ability_of_reading,Ability_of_writing,Smoke,Arrested_by_police,Aware_of_organizations,Division,cat_hr_work,age_cat,attend_cat,living_company_cat,Hungry_night,Eat_location_cat,working_days
Market,Came to earn income,Any work available,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,No,No,No,Sylhet,from 8 to 12 hr,more than 14,No,No one,With food,Street Shop,7 day
In a shelter,I ran away,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,No one,With food,Street Shop,7 day
In a shelter,Came to earn income,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,more than 14,No,With friends (who are street children),With food,Street Shop,7 day
Market,Poverty/hunger,Collect things from dustbin & sell,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
In a shelter,I ran away,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",Yes,No,No,Yes,Yes,No,Sylhet,upto 8hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
On the street,Poverty/hunger,Others,No,For family,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,Yes,Yes,No,No,Sylhet,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Street Shop,7 day
On the street,I ran away,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,No,No,No,Sylhet,upto 8hr,more than 14,No,No one,With food,Street Shop,7 day
In a shelter,Poverty/hunger,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,Yes,No,No,Sylhet,more than 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Railway station,Came to earn income,Any work available,No,For employer,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,Yes,No,No,Sylhet,more than 12 hr,more than 14,Yes,No one,With food,Street Shop,7 day
Railway station,Came to earn income,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Sylhet,upto 8hr,less than 11,No,No one,With food,Street Shop,7 day
Railway station,No one to look after me,Tokai,No,For himself,Yes I work on my own,No,Yes,Sometimes without food for a day,Street shop,Three nights,No,No,No,Yes,Yes,No,Sylhet,more than 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Abandoned houses,Poverty/hunger,Any work available,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,Yes,No,No,Sylhet,upto 8hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,I ran away,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Three nights,No,No,No,Yes,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Market,Poverty/hunger,Any work available,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,more than 12 hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
Others,I ran away,Begging,No,For himself,Yes I work on my own,No,Yes,Three times a day,Others,"No, did not without food",Yes,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,With friends (who are street children),With food,Begging or collecting from dustbin,7 day
Market,Poverty/hunger,Tokai,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,No one,With food,Street Shop,7 day
Market,No one to look after me,Tokai,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,With food,Street Shop,7 day
Market,Because of stepfather/mother,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,No one,With food,Street Shop,7 day
On the street,Poverty/hunger,Begging,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Three nights,No,Yes,Yes,No,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Market,Poverty/hunger,Tokai,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,With food,Street Shop,7 day
Under a bridge,Came to earn income,Tokai,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Three nights,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,more than 14,No,No one,without food,Street Shop,7 day
Market,Parents sent me away (not sold),Minti,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,With food,Street Shop,7 day
Under a bridge,No one to look after me,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,With food,Street Shop,7 day
In a shelter,I ran away,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Two nights,Yes,Yes,Yes,No,No,No,Sylhet,upto 8hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
Under a bridge,Poverty/hunger,Others,No,For himself,Yes I work on my own,Yes,No,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,upto 8hr,from 11  to 14,Yes,No one,With food,Street Shop,7 day
Others,There was abuse,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Railway station,I ran away,Others,Yes,For himself,Yes I work on my own,No,No,Three times a day,Street shop,Two nights,Yes,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Under a bridge,There was abuse,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Three nights,No,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
Under a bridge,There was abuse,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Under a bridge,There was abuse,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,No one,without food,Street Shop,7 day
Under a bridge,Poverty/hunger,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,more than 14,No,No one,without food,Street Shop,7 day
Under a bridge,There was abuse,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Two nights,No,No,No,Yes,No,No,Sylhet,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
On the street,Poverty/hunger,Begging,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
On the street,Poverty/hunger,Begging,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,No one,without food,Street Shop,7 day
Others,Poverty/hunger,Begging,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Two nights,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,No one,without food,Street Shop,7 day
Others,Poverty/hunger,Tokai,No,For himself,Yes I work on my own,No,Yes,One time a day,Beg for food from restaurants,Two nights,No,No,No,No,No,No,Sylhet,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
Others,Poverty/hunger,Any work available,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
Others,No one to look after me,Begging,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Others,Poverty/hunger,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Sylhet,upto 8hr,less than 11,No,No one,With food,Street Shop,7 day
Others,Came to earn income,Collect old papers & thoer things,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,Yes,Yes,No,No,No,Sylhet,upto 8hr,less than 11,Yes,With friends (who are street children),without food,Street Shop,7 day
Railway station,There was abuse,Cooli,Yes,For himself,Yes I work on my own,No,No,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,No one to look after me,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,less than 11,No,No one,With food,Street Shop,7 day
Railway station,There was abuse,Cooli,No,For himself,Yes I work on my own,Yes,No,Twice a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Railway station,Poverty/hunger,Cooli,No,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,Yes,Yes,No,Sylhet,more than 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Others,Yes,For family,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,Yes,Yes,No,Sylhet,from 8 to 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,Two nights,Yes,No,No,Yes,Yes,No,Sylhet,upto 8hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
Railway station,Because of stepfather/mother,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Two nights,No,No,No,Yes,No,No,Sylhet,upto 8hr,less than 11,No,No one,without food,Street Shop,7 day
Railway station,Poverty/hunger,Cooli,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",Yes,Yes,Yes,Yes,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,Yes,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Cooli,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,No,No,No,Sylhet,from 8 to 12 hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
Railway station,I ran away,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,Yes,No,No,Sylhet,from 8 to 12 hr,more than 14,Yes,With friends (who are street children),With food,Street Shop,7 day
Railway station,Poverty/hunger,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",Yes,No,No,Yes,No,No,Sylhet,from 8 to 12 hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Railway station,I ran away,Cooli,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",Yes,Yes,Yes,Yes,No,Yes,Sylhet,more than 12 hr,more than 14,Yes,No one,With food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,One night,No,No,No,Yes,Yes,No,Sylhet,from 8 to 12 hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Railway station,Came to earn income,Cooli,No,For himself,No I work with other street children,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,Yes,No,Khulna,from 8 to 12 hr,more than 14,No,With friends (who are street children),With food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,No I work with other street children,Yes,Yes,Three times a day,Street shop,One night,No,No,No,Yes,No,No,Khulna,from 8 to 12 hr,more than 14,No,No one,without food,Street Shop,7 day
Railway station,I ran away,Sell flowers/newspapers/fruits on the road,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,One night,No,No,No,Yes,No,No,Khulna,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Railway station,Came to earn income,Others,No,For employer,Yes I work on my own,No,Yes,Three times a day,Beg for food from restaurants,"No, did not without food",No,Yes,Yes,Yes,No,No,Khulna,more than 12 hr,from 11  to 14,Yes,No one,With food,Begging or collecting from dustbin,7 day
Railway station,Father/mother coming here,Others,Yes,For family,Yes I work on my own,Yes,Yes,Three times a day,Street shop,One night,No,No,No,Yes,Yes,No,Khulna,from 8 to 12 hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Railway station,Because of stepfather/mother,Tokai,No,For family,No I work with other street children,Yes,Yes,Three times a day,Street shop,Two nights,No,Yes,Yes,No,No,No,Khulna,upto 8hr,from 11  to 14,Yes,With friends (who are street children),without food,Street Shop,7 day
Railway station,Poverty/hunger,Sell flowers/newspapers/fruits on the road,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,No,No,No,Khulna,more than 12 hr,from 11  to 14,Yes,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Tokai,Yes,For himself,No I work with other street children,Yes,Yes,Three times a day,Street shop,Two nights,No,No,No,No,No,No,Khulna,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Railway station,Came to earn income,Cooli,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,from 8 to 12 hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,more than 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,No I work with other street children,Yes,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,Yes,Yes,No,Khulna,more than 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Begging,No,For himself,No I work with other street children,No,Yes,Twice a day,Street shop,Two nights,No,No,No,No,No,No,Khulna,more than 12 hr,less than 11,No,No one,without food,Street Shop,7 day
Railway station,No one to look after me,Cooli,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,more than 12 hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
Railway station,Because of stepfather/mother,Any work available,No,For himself,Yes I work on my own,No,No,Twice a day,Street shop,Two nights,No,No,No,No,No,No,Khulna,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Railway station,Came to earn income,Cooli,No,For himself,Yes I work on my own,No,No,Twice a day,Street shop,Two nights,No,Yes,Yes,No,Yes,No,Khulna,from 8 to 12 hr,from 11  to 14,Yes,With friends (who are street children),without food,Street Shop,7 day
Railway station,I ran away,Cooli,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,Three nights,No,No,No,Yes,No,No,Khulna,from 8 to 12 hr,from 11  to 14,Yes,With friends (who are street children),without food,Street Shop,7 day
Railway station,Because of stepfather/mother,Others,Yes,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,upto 8hr,less than 11,Yes,No one,With food,Street Shop,7 day
Railway station,I ran away,Cooli,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Others,Two nights,No,No,No,No,No,No,Khulna,from 8 to 12 hr,less than 11,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
Launch/steamer terminal,Poverty/hunger,Others,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,One night,No,No,No,No,No,No,Khulna,from 8 to 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
On the street,No one to look after me,Cooli,Yes,For himself,No I work with other street children,No,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,No,No,No,Khulna,from 8 to 12 hr,from 11  to 14,Yes,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,No one to look after me,Any work available,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,Two nights,No,No,No,No,Yes,No,Khulna,from 8 to 12 hr,less than 11,No,No one,without food,Street Shop,7 day
Railway station,Others,Begging,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,more than 12 hr,less than 11,No,No one,With food,Street Shop,7 day
Railway station,Poverty/hunger,Cooli,No,For himself,No I work with other street children,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,from 8 to 12 hr,less than 11,Yes,No one,With food,Street Shop,7 day
Launch/steamer terminal,I ran away,Cooli,Yes,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,One night,No,No,No,No,No,No,Khulna,from 8 to 12 hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Launch/steamer terminal,Others,Others,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,One night,No,No,No,No,No,No,Khulna,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Launch/steamer terminal,I ran away,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,more than 12 hr,from 11  to 14,No,No one,With food,Street Shop,7 day
Launch/steamer terminal,Poverty/hunger,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,No,Yes,One time a day,Street shop,"No, did not without food",No,No,No,No,No,No,Khulna,upto 8hr,less than 11,Yes,With friends (who are street children),With food,Street Shop,7 day
Bus stations,I ran away,Whatever work I can find,No,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,Two nights,No,No,No,No,No,No,Dhaka,from 8 to 12 hr,less than 11,No,With friends (who are street children),without food,Street Shop,7 day
Market,There was abuse,Cooli,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,Yes,Yes,No,No,No,Dhaka,upto 8hr,from 11  to 14,Yes,No one,With food,Street Shop,7 day
Launch/steamer terminal,No one to look after me,Others,No,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,Four nights,No,Yes,Yes,Yes,No,No,Barisal,upto 8hr,less than 11,Yes,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Came to earn income,Cooli,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Poverty/hunger,Others,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,Three nights,No,No,No,Yes,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Because of stepfather/mother,Begging,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,No,No,No,Barisal,from 8 to 12 hr,more than 14,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Because of stepfather/mother,Others,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Barisal,upto 8hr,more than 14,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Poverty/hunger,Others,No,For family,Yes I work on my own,Yes,Yes,Twice a day,Street shop,One night,No,No,No,Yes,No,No,Barisal,upto 8hr,less than 11,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,I ran away,Tokai,No,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,One night,No,No,No,Yes,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Others,No,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,Three nights,No,No,No,Yes,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,No one to look after me,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,Yes,No,No,Barisal,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,There was abuse,Others,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,Four nights,No,No,No,Yes,No,No,Barisal,upto 8hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Because of stepfather/mother,Others,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Barisal,upto 8hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Poverty/hunger,Others,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,No,No,No,Barisal,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,Yes,For family,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,No,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Came to earn income,Sell flowers/newspapers/fruits on the road,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,"No, did not without food",Yes,No,No,No,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,Yes,For family,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Barisal,upto 8hr,less than 11,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,No one to look after me,Tokai,Yes,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,Three nights,No,Yes,Yes,Yes,No,No,Barisal,from 8 to 12 hr,from 11  to 14,Yes,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,Yes,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,Two nights,No,No,No,No,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,Yes,For himself,Yes I work on my own,No,Yes,Twice a day,Beg for food from restaurants,Four nights,No,Yes,Yes,No,No,No,Barisal,upto 8hr,less than 11,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
Launch/steamer terminal,Because of stepfather/mother,Cooli,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,No,No,No,Barisal,upto 8hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Others,Others,No,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,Two nights,No,No,No,Yes,No,No,Barisal,more than 12 hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Because of stepfather/mother,Tokai,No,For himself,Yes I work on my own,No,Yes,Twice a day,Street shop,Two nights,No,Yes,Yes,Yes,No,Yes,Barisal,from 8 to 12 hr,more than 14,Yes,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,Yes,For family,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",Yes,Yes,Yes,No,No,No,Barisal,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,No,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,Three nights,No,No,No,Yes,No,No,Barisal,upto 8hr,less than 11,No,With friends (who are street children),without food,Street Shop,7 day
Launch/steamer terminal,Father/mother coming here,Cooli,Yes,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,Two nights,No,No,No,No,No,No,Barisal,upto 8hr,less than 11,No,With friends (who are street children),without food,Street Shop,7 day
